Journal,Started,ISSN,URL,Type,SSCI,REC,h5,IF,R2013,OP2P,DOAJ_LINK,2014_h5,NOTES
International Journal of Computer-Supported Collaborative Learning,2006,1556-1607,http://ijcscl.org/,Sub.,Yes,,25,2.609,x,,,25,
International Journal of Continuing Engineering Education and Life-long Learning,1990,1741-5055,http://www.inderscience.com/ijceell,Sub.,--,,,,x,,,,
International Journal of Cooperative Information Systems (IJCIS),,1793-6365,http://www.worldscinet.com/ijcis/ijcis.shtml,Sub.,Yes,,-,0.694,x,,,,
International Journal of Designs for Learning (IJDL),,2159-449X,http://scholarworks.iu.edu/journals/index.php/ijdl,Open,--,Yes,,,29,,http://doaj.org/toc/2159-449X,,
International Journal of Distance Education Technologies,2003,1539-3100,http://www.ijdet.com/,Sub.,--,,,,x,,,,
International Journal of E-Collaboration,2005,1548-3681,http://www.igi-global.com/journal/international-journal-collaboration-ijec/1090,Sub.,--,,,,x,,,,
International Journal of E-Learning (IJEL),,1537-2456,http://www.aace.org/pubs/ijel/,Sub.,--,,,,x,,,,
International Journal of Education and Development using Information and Communication Technology (IJEDICT),2005,1814-0556,http://ijedict.dec.uwi.edu/,Open,--,,,,39,,http://doaj.org/toc/1814-0556,,
International Journal of Educational Research,,0883-0355,http://www.journals.elsevier.com/international-journal-of-educational-research/,Sub.,--,,,,x,,,,
International Journal of Educational Research and Technology (IJERT),,0976-4089,http://soeagra.com/ijert.html,Open,--,Yes,-,,18,,http://doaj.org/toc/0976-4089,,
International Journal of Educational Technology,,1327-7308,http://education.illinois.edu/ijet/,Sub.,--,,,,x,,,,
International Journal of Electrical Engineering Education (IJEEE),1963, 0020-7209,http://www.eee.manchester.ac.uk/about-us/ijeee/,Sub.,Yes,,8,0.215,x,,,,
International Journal of Emerging Technologies in Learning (iJET),2006,1863-0383,http://online-journals.org/i-jet,Open,--,,,,23,,http://doaj.org/toc/1863-0383,,
International Journal of ePortfolio (IJeP),2010,2157-622X,http://www.theijep.com/,Open,--,,,,53,,http://doaj.org/toc/2157-622X,,
"International Journal of Fashion Design, Technology and Education",,1754-3266,http://www.tandfonline.com/tfdt,Sub.,--,,,,x,,,,
International Journal of Gaming and Computer Mediated Simulations,2009,1942-3888,http://www.igi-global.com/journal/international-journal-gaming-computer-mediated/1125,Sub.,--,,,,x,,,,
International Journal of Human Computer Studies,1954,1071-5819,http://www.journals.elsevier.com/international-journal-of-human-computer-studies/,Sub.,Yes,,34,1.942,x,,,,
International Journal of Human-Computer Interaction,,0737-0024,http://www.tandfonline.com/loi/hhci20#.VRsHbfnF98E,Sub.,Yes,,25,2.692,x,,,,
International Journal of Human-Computer Interaction,1989,1044-7318,http://www.hcirn.com/res/period/ijhci.php,Sub.,Yes,,25,1.193,x,,,,
International Journal of Humanities and Social Sciences (IJHSS),,2221-0989,http://www.ijhssnet.com/,Open,--,,,,52,,,,
International Journal of Information and Communication Technology Education,2005,1550-1876,http://www.igi-global.com/journal/international-journal-information-communication-technology/1082,Sub.,--,,,,x,,,,
International Journal of Information and Education Technology (IJIET),,2010-3689,http://www.ijiet.org,Open,--,,,,34,,http://doaj.org/toc/2010-3689,,
International Journal of Information and Operations Management Education,2005,1744-2311,http://www.inderscience.com/ijiome,Sub.,--,,,,x,,,,
International Journal of Innovation and Learning,2003,1741-8089,http://www.inderscience.com/ijil,Sub.,--,,,,x,,,,
International Journal of Instruction (IJI),,1308-1470,http://www.e-iji.net/,Open,--,,,,62,,http://doaj.org/toc/1308-1470,,
International Journal of Instructional Media,1978,0892-1815,http://www.adprima.com/ijim.htm,Sub.,--,,,,x,,,,
International Journal of Instructional Technology and Distance Learning (IJITDL),2004,1550-6908,http://www.itdl.org/,Open,--,,,,36,,,,
International Journal of Interactive Mobile Technologies (iJOM),,1865-7923,http://online-journals.org/i-jim,Open,--,,,,63,,http://doaj.org/toc/1865-7923,,
International Journal of Interactive Technology and Smart Education,2004,1741-5659,http://www.emeraldinsight.com/loi/itse,Sub.,--,,,,x,,,,
International Journal of K-12 Online and Blended Learning,2011,,http://www.ijkobl.com,Sub.,--,,,,x,,,,
International Journal of Knowledge and Learning (IJKL) ,2005,1741-1017,http://www.inderscience.com/ijkl,Sub.,--,,,,x,,,,
International Journal of Learning Technology,2004,1741-8119,http://www.inderscience.com/ijlt,Sub.,--,,,,x,,,,
International Journal of Mathematical Education in Science and Technology,1970,1573-1774,http://www.tandfonline.com/tmes,Sub.,Yes,,15,0.636,x,,,,
International Journal of Mobile Learning and Organisation (IJMLO),2007,1746-7268,http://www.inderscience.com/ijmlo/,Sub.,--,,,,x,,,,
International Journal of Modern Education and Computer Science (IJMECS),,2075-017X,http://www.mecs-press.org/ijmecs/,Open,--,,,,72,,http://doaj.org/toc/2075-017X,,
